uid,up主昵称,B站地址,番茄指数,粉丝总数,作品总数,充电总人数,一级分类,二级分类
323194278,河南共青团,https://space.bilibili.com/323194278,3548.3,1220718,314,1946,资讯,热点
391774002,NASA宇宙,https://space.bilibili.com/391774002,3539.2,1220610,881,158,知识,科学科普
216623621,吃货明3,https://space.bilibili.com/216623621,3548.7,1218439,862,1667,美食,美食测评
523085457,不更新A,https://space.bilibili.com/523085457,3545.3,1218270,73,4828,游戏,单机游戏
320818292,窝头是个暴脾气,https://space.bilibili.com/320818292,3560.6,1216808,234,732,美食,美食制作
507521207,矢野浩二,https://space.bilibili.com/507521207,3563.2,1216767,145,472,娱乐,明星
60509716,一个爱吃的猪,https://space.bilibili.com/60509716,3566.5,1216321,620,603,知识,人文历史
93876791,魔王大人帅帅帅ii,https://space.bilibili.com/93876791,3535.5,1211047,31,1472,生活,日常
92568184,福乐小哥,https://space.bilibili.com/92568184,3549.6,1210973,258,908,生活,日常
646730844,雷军,https://space.bilibili.com/646730844,3541,1210857,35,,生活,日常
39915398,MrYang杨家成,https://space.bilibili.com/39915398,3542.5,1208690,505,425,生活,日常
2192108,王思妇丶,https://space.bilibili.com/2192108,3585.9,1207107,370,2904,鬼畜,鬼畜调教
872507,SCP基金会中国,https://space.bilibili.com/872507,3543.5,1205950,14,226,知识,人文历史
253350665,大聪看电影,https://space.bilibili.com/253350665,3552.5,1205189,492,1653,影视,影视杂谈
483787858,环球网,https://space.bilibili.com/483787858,3541.4,1204929,13512,408,资讯,环球
355327690,珍大户,https://space.bilibili.com/355327690,3550.9,1203983,113,586,知识,财经商业
395936853,了不起的八万二饼,https://space.bilibili.com/395936853,3561.6,1202248,407,5976,美食,美食制作
11264229,萝王2号,https://space.bilibili.com/11264229,3546.9,1199684,382,1967,知识,科学科普
245742750,陈一丁Dingslook,https://space.bilibili.com/245742750,3544.2,1198149,206,191,时尚,美妆
75912367,陈吃饭_,https://space.bilibili.com/75912367,3555,1198112,223,598,时尚,美妆
22121599,纪录片之家字幕组,https://space.bilibili.com/22121599,3549.1,1197825,1503,662,知识,科学科普
11491546,猫耳FM,https://space.bilibili.com/11491546,3583.4,1197780,875,,国创,动态漫·广播剧
27959806,洛丽塔大哥lolita,https://space.bilibili.com/27959806,3540.4,1197523,238,892,生活,日常
643873396,平安小财娘,https://space.bilibili.com/643873396,3539.4,1197361,107,314,生活,搞笑
25422790,红色激情,https://space.bilibili.com/25422790,3606.2,1196577,181,2946,鬼畜,人力VOCALOID
8034163,浅澄月,https://space.bilibili.com/8034163,3580,1196444,286,2692,鬼畜,鬼畜剧场
481393564,钉钉DingTalk,https://space.bilibili.com/481393564,3557.5,1195091,169,54,生活,搞笑
101229184,滇西小哥,https://space.bilibili.com/101229184,3554.1,1194662,323,2649,美食,田园美食
8491103,轩墨宝宝,https://space.bilibili.com/8491103,3537.3,1194529,87,752,生活,搞笑
451618887,艺术家阿克曼,https://space.bilibili.com/451618887,3541.8,1193777,2233,2296,游戏,电子竞技
605544858,矮油王老六,https://space.bilibili.com/605544858,3545.5,1192586,34,366,生活,搞笑
719238,谷谷永不咕咕,https://space.bilibili.com/719238,3545.2,1191430,137,448,动画,短片·手书·配音
1449165774,宝鲁日GO,https://space.bilibili.com/1449165774,3538.1,1188019,68,11,美食,美食制作
6534506,笑cry的小仙爷,https://space.bilibili.com/6534506,3545.7,1187033,165,858,时尚,美妆
26253404,小豆蔻儿,https://space.bilibili.com/26253404,3553.7,1186177,368,1165,时尚,服饰
437744340,CSGO久菜合子,https://space.bilibili.com/437744340,3537.1,1185255,212,3348,游戏,电子竞技
25782796,深夜徐老师,https://space.bilibili.com/25782796,3546.6,1184965,331,113,时尚,美妆
2742391,Free高考英语,https://space.bilibili.com/2742391,3540.6,1184696,644,2323,知识,校园学习
7655977,十二礼,https://space.bilibili.com/7655977,3541.5,1182608,131,980,生活,日常
403748305,BML制作指挥部,https://space.bilibili.com/403748305,3607.3,1181240,346,,音乐,音乐现场
182481858,唐尼是个der,https://space.bilibili.com/182481858,3534.7,1180200,279,248,美食,美食测评
439868658,五菱汽车,https://space.bilibili.com/439868658,3537.7,1178783,236,97,汽车,汽车生活
348640514,千万不要买,https://space.bilibili.com/348640514,3539.2,1177937,662,209,科技,数码
412504829,文韬Stefan,https://space.bilibili.com/412504829,3551.6,1177729,125,1878,游戏,单机游戏
