视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
让死刑犯踢球，能不能拿到世界杯？,太阳星sunstar,272033,1128916,14055,75073,1341,6542,155,1445,955,4847,知识,人文历史
求三连保护我方视频,小黄瓜子壳儿,271555,681582,14815,39961,932,2981,120,443,172,590,生活,搞笑
司……司空震本人上号？？？4.0,二斤羊,271170,504536,23344,40280,1907,3284,112,487,1828,4416,游戏,电子竞技
亏钱的伐木队，是怎么把垂直扎进土里的树杆弄出来的呢？,全球不知道,270975,629747,14425,27851,571,1117,45,144,71,146,生活,日常
要把这么多饺子皮装进行李箱，总共分几步？,玲子reiko-,270384,270384,31270,31270,568,568,791,791,531,531,生活,日常
找出图中66处交通违规？我眼睛瞪得贼大，哪有那么多啊,游小浪Game,270088,647432,292,1115,2402,5238,1,28,42,127,游戏,单机游戏
古话说的好，得饶人处且饶人！！！,是番茄的茄,270083,1362844,245,1786,1067,8040,0,8,11,141,动画,
卡塔尔世界杯开幕式上的残障男孩,美国国家地理_NatGeo,270047,1285595,38608,190344,1984,9282,-209,1208,451,1851,,
【原神】3.3前瞻直播内容！送300原石和绝版武器！七圣召唤上线！卡池信息官宣！新圣遗物和新地图等大量内容别错过！,,269924,269924,14869,14869,1431,1431,421,421,2988,2988,游戏,手机游戏
大海无量，好好玩啊，这个迷你船锚，你知道他是干嘛用的吗？,,269362,2260815,3517,26467,218,1792,21,306,42,299,生活,手工
【抽奖】3W粉丝福利！！！价值5999的逆刃刀真打送给你！0套路，细节100%还原！B站限定,章氏刀剑,267650,267650,10155,10155,5260,5260,4040,4040,10447,10447,生活,手工
以貌取人的世界,,267603,940952,375,1670,3351,12965,0,1,33,178,国创,国产原创相关
怎样在最短时间过桥？这道题你会吗？益智动画《过桥》,小钧讲电影,266662,1093984,315,1518,3373,14988,0,1,67,284,动画,综合
【我的契约兽是中华田园犬】一口气看完精剪合集,,266633,2014909,949,6998,8281,66953,0,13,226,1564,国创,国产原创相关
汪小菲：婚书就是一泡狗尿,这个月-,265758,374908,25267,43682,5068,8593,3459,6542,21916,36574,娱乐,娱乐杂谈
吴亦凡一审被判13年，附加驱逐出境,,264906,264906,25843,25843,552,552,1915,1915,494,494,资讯,热点
“NBA世界杯-老詹出征”,皓篮球,263164,263164,28809,28809,3790,3790,439,439,4775,4775,运动,篮球·足球
“冰箱有剩菜”被群嘲上热搜，撕开病态现实：年轻人已经被榨干了,小椰子专栏,262942,262942,13400,13400,1562,1562,1676,1676,1121,1121,知识,社科·法律·心理
保温十几小时竟然可以这么直观？这个保温杯简直是天花板设计。,笨重的熊,261881,5007232,5181,68456,1370,17787,76,1739,96,1220,生活,日常
原以为异世界找工作很简单，不料游戏世界里全是bug,,261834,759980,579,7268,864,3278,-4,40,25,164,动画,综合
1-15送死流心之钢疯狂折磨，死一次100块，心之钢叠200，爆破直接秒杀门牙塔！,我才是熊猫大G,261801,641745,5037,15084,217,597,71,353,465,1409,游戏,电子竞技
每个人都有自身的价值,动漫推剪,261322,1125452,158,30932,556,2778,0,272,17,391,动画,
【时长3小时】世界上最好听的50粤语歌曲，值得你单曲循环的50首经典粤语歌曲合集！,北流嘉措,259298,592409,12324,28151,26141,65274,480,1689,10995,24354,音乐,音乐综合
豪掷2200亿美元，为世界杯空造一座城，卡塔尔为什么这么豪？,璐透社,259207,851857,1056,5189,3614,10810,-2,359,213,846,知识,财经商业
情侣旅游的真相和朋友圈！,是个维维啊,259151,259151,25786,25786,449,449,230,230,252,252,生活,搞笑
石油滞销，帮帮我们,呆呆嗲狗,259149,457832,12490,26247,1089,2171,150,408,243,757,动物圈,喵星人
好冷！见证阿根廷1-2遭沙特逆转，球迷破防现场…,汉青书半霍去病,258281,1090380,2695,17977,570,1727,52,1098,194,1412,,
【徐静雨】如果足球取消越位会怎样？那中国可能早就承办过世界杯了！,雨说体育徐静雨,257778,365835,2299,4371,159,324,583,885,96,228,运动,
破案了，回“6”的原因找到了,澈洌chan,256368,1040556,23917,111877,6423,25697,690,2671,629,2074,生活,搞笑
谁都不能欺负我儿媳妇,逆袭丁姐,256119,666083,294,752,3406,8969,0,5,31,59,影视,短片
一年一度！全宇宙为之欢呼的骨折新史低来袭！【Steam秋季特卖史低游戏推荐】11.24,萬游引力,256059,331626,9881,13657,1932,2658,426,632,3833,5404,游戏,单机游戏
孩子：我尊的会谢！,今日memes,255914,351100,4096,6883,382,709,129,199,7,14,生活,搞笑
讽刺动画《鹿先生》,,255666,778741,242,1034,2270,5460,0,7,18,57,,
爱 嫂 子 啊 ？,倒悬的橘子,255321,255321,19627,19627,1917,1917,390,390,4592,4592,鬼畜,鬼畜调教
【4K60FPS】夏奇拉《Waka Waka》世界杯神曲！群星云集的年代！,,255167,2906131,9741,127346,5657,52272,236,4782,1189,17743,音乐,MV
宜昌夫妻给幼儿园宝宝建别墅，一砖一瓦丝毫不敢懈怠，小星星会喜欢吗,大包二妹的幸福生活,253269,798382,105,597,1707,5982,0,16,38,150,生活,
【Zc故事】强 人 锁 男,魔法Zc目录,252574,252574,54073,54073,12039,12039,552,552,31143,31143,动画,短片·手书·配音
【逗鱼时刻】第379期 老师，你快把咱们摊吃没了！,天天卡牌,251989,826351,10675,49040,796,3995,274,2032,4573,18844,游戏,桌游棋牌
这可真是个“高科技”呀！,鹏鹏和丁满哟,251956,434765,1823,4030,81,150,42,78,24,58,生活,日常
《如此分手》,演员LZH,250719,682056,22036,42817,1609,3007,150,322,325,772,生活,搞笑
修勾买菜，但是日语,彩虹酱哇,250344,250344,30515,30515,2233,2233,265,265,1734,1734,动物圈,大熊猫
被曼联官宣离队后，C罗成本届世界杯唯一自由球员，今晚0时迎首秀,大象新闻,249978,560205,2714,6285,192,473,486,1412,25,50,,
四川绵阳某小区一女子与一婴儿坠楼 警方回应：正在调查中,,249679,334694,16806,19972,878,1081,1486,2330,64,73,资讯,社会
《那个我未曾上手 但却无比熟悉的游戏》,凳子凳子_,249384,2219425,29035,222037,2219,13704,194,2677,305,1708,生活,搞笑
《养宠劝退指南》,龙馍馍,247507,504666,12090,32355,1378,2552,115,285,402,1357,动物圈,大熊猫
这到底是给谁吃的？本地人不认可！可是凌晨天天爆满？！｜真探来了,真探来了,245955,245955,9250,9250,340,340,488,488,464,464,美食,美食侦探
当送死流塞恩忘记祖训，眼里只有心之钢，30分钟八千血，35分钟1万血，大本都不拆了？,,245820,245820,7047,7047,163,163,455,455,321,321,游戏,电子竞技
因为bug太离谱，元歌被当场屏蔽！掌握时空暂停的元歌,卓影丶,244976,408657,10036,15561,338,518,163,685,113,194,游戏,电子竞技
便宜没好货？700多元买了5块爆款拼多多固态硬盘，拆开后让你大开眼界！,韭菜实验室,244962,244962,19199,19199,1729,1729,1275,1275,5950,5950,科技,数码
【唐唐】最痴情的女妖 爆笑解说《阴阳画皮》,Big笑工坊,244881,244881,14409,14409,1058,1058,415,415,2139,2139,影视,影视杂谈
【非匿名指令】公测开荒各角色强度速览！初始推荐！！,绝不是dd,244859,317047,1530,2801,1079,2561,1094,1521,219,462,游戏,手机游戏
我的世界：循环第四集，除了我之外，出现第二个陷入循环的人,阿威游戏,244809,786699,271,1215,1844,8190,1,7,61,290,游戏,手机游戏
“这就是对布林肯的回答”俄罗斯通过法案，将完全禁止LGBT宣传,,244579,244579,25016,25016,973,973,2309,2309,669,669,资讯,环球
学霸口中的“玩”……,阿沛不开心,244326,483423,31483,73550,885,1915,149,559,254,882,生活,搞笑
【点到为止33】太 烧 脑 了,我是怪异君,243481,243481,31498,31498,9261,9261,1016,1016,29148,29148,知识,人文历史
大悦：妈你第一次见婆婆为什么不带我～,刘大悦er,242927,242927,30071,30071,591,591,128,128,290,290,影视,短片
外温度很高的情况下，为什么在海滩会有那么厚的冰层,,242197,242197,5458,5458,443,443,230,230,50,50,知识,科学科普
【青柳尊哉】别拦我！我现在就要开中国零食代理店！,青柳尊哉,241263,241263,29382,29382,4226,4226,1461,1461,14654,14654,娱乐,明星
30分钟彻底说清为何不能赌球！离世界杯开幕还有3天！现在看这视频还来得及！,扑克经济学,241190,3159808,18539,185334,6479,65323,647,12908,6054,72602,知识,财经商业
用手指做眼镜蛇的美女是谁？手指眼镜蛇你学会了吗？,地球百科君,240970,240970,12064,12064,2251,2251,257,257,165,165,知识,科学科普
当绘画大师遇上小只因，我真的是蚌埠住了！,太空漫步c,240323,687899,2364,6002,10661,28716,0,2,231,630,生活,绘画
卡塔尔可爱小王子和她的皇太后妈妈,米兰达1988,239895,1058995,10558,43658,918,3596,125,598,109,370,知识,人文历史
手指夹住兔兔的舌头会怎样,甜汤圆不甜,239529,678906,12224,44409,1481,4518,274,963,169,480,动物圈,爬宠
骁友Vlog | 在2022遇见全“芯”的你,高通骁龙,239455,307279,462,631,38,52,9,15,34,49,生活,日常
【概念PV】2470年最后的少女nunu,实验员NuNu,238614,238614,9200,9200,3073,3073,222,222,429,429,动画,综合
今年最强！寒潮将出手多省降近二十度，雪线快速南下江南或上冻,中气爱,238317,394523,12144,27229,434,918,763,1656,1136,2599,知识,科学科普
听声音以为是“萌妹”，不料一露脸竟是“八尺壮汉”！惊呆一众男明星,下饭音乐,238067,1493057,1763,44726,7557,43419,2,137,137,1136,,
红警中立基洛夫一块地！用牛车吸引直接祸水东引！,红警HBK08,238064,238064,15127,15127,459,459,360,360,1748,1748,游戏,单机游戏
当up在校运会上唱起《孤勇者》并跳起了《爱你》| 南科大2022校运会开幕式力量举社表演,大勒個熊,237535,9517508,15546,744181,2151,90235,91,4893,2367,122799,时尚,健身
【半佛】想过当咖啡师吗？感受魔幻人生。,硬核的半佛仙人,236834,1025188,14144,59644,815,5934,134,2376,511,5635,知识,财经商业
海獭被虎鲸追杀，好在船主相助 ，这才让它逃过一劫,大余动物说,236464,3183282,12726,144024,1024,9156,305,7428,144,1458,动物圈,动物综合
捐赠日本侵华罪证的美国当铺老板 获中国回礼,,236135,639033,14572,38884,1314,3079,355,1427,921,2563,资讯,环球
喜欢也分贵贱吗？,碎嘴企鹅,236032,390768,38567,67685,2533,4410,918,1692,2639,5376,生活,搞笑
北舞学姐申请出战！??是奶味的热恋冰淇凌 ??,紫颜-小仙紫,236024,236024,14598,14598,8823,8823,477,477,4275,4275,舞蹈,舞蹈综合
小胃王的生日，我们准备了很多东西，这么多人疼爱他，这个宝宝很幸福,非洲飞哥,235954,235954,25702,25702,1588,1588,1624,1624,23359,23359,生活,日常
【原神3.3兑换码】300原石！11.26中午12点过期,你的影月月,235358,235358,16350,16350,851,851,676,676,2287,2287,游戏,手机游戏
哆啦A梦....我不做人啦！！,路路迷路路,234444,234444,34718,34718,1786,1786,427,427,4714,4714,动画,短片·手书·配音
【原神】120原石！《无忧梦乡》H5小游戏！完美结局条件,,234432,234432,17596,17596,2941,2941,319,319,1496,1496,游戏,手机游戏
偶遇温州街头85岁老奶奶！！开了二十几年的瘦肉丸摊子！！奶奶太温柔了,甜品大帅,234106,1671955,30286,209891,2035,14193,129,1315,2661,15878,美食,美食侦探
史上最“羞耻”的运动会，场面根本控制不住，校长：班主任来一下,,233655,4474197,1275,21382,5173,94329,2,40,159,2368,音乐,音乐综合
「小白」 vivo X90测评：能否称王？天玑9200落地首测,小白测评,233633,233633,11345,11345,857,857,1444,1444,1601,1601,科技,数码
假  死  过  人,,233535,1531173,18625,106689,1827,9700,107,475,186,1354,,
魅力张跳的是什么舞,甜蜜老张,233388,233388,27675,27675,1225,1225,198,198,986,986,生活,搞笑
无脑！这么改的话其他英雄怎么玩？远程兵能抗15下塔!,小梦哥游戏解说,233225,778096,87,880,279,1367,0,244,7,59,游戏,电子竞技
如何快速通过觉悟拿到皮肤？只需要一点操作，觉悟难度大降,,232972,232972,6807,6807,1657,1657,720,720,335,335,游戏,电子竞技
关于我的婚姻,冰柳山君An,232970,232970,7863,7863,1980,1980,1554,1554,5137,5137,生活,日常
我藏进胖修女的洗衣货车逃出去了，而且还发现了超级彩蛋！鬼修女破碎的面具,薄海纸鱼,232546,232546,23311,23311,3055,3055,586,586,4153,4153,游戏,单机游戏
【饥饿站台】西班牙悬疑片天花板，待满一年就能领3亿元的奖金，这样的挑战你敢参加吗？,小陈说电影呀,232361,792223,335,19918,1096,3353,1,186,40,138,影视,影视杂谈
骑行格聂南线，地广人稀买不到米和菜，连吃了两天挂面,,231567,444228,17383,42597,1258,3412,594,1720,14592,34936,,
男孩偷烧鸡被抓，摊主得知真相后倒贴钱,快点影视解说,231354,1895291,118,5793,476,4497,1,71,7,95,影视,影视杂谈
当3d打印笔遇到我的世界，这是什么操作！,生活就是画画画,230575,505559,9452,31257,3878,7588,4,128,423,1089,生活,绘画
女鬼子卧底十年，却因一个背影暴露身份，八路将计就计全歼鬼子①,,230463,1151200,86,464,634,2989,0,0,14,113,影视,影视杂谈
? ????,Jear,229555,537620,26188,68256,2633,6391,130,346,242,579,动物圈,喵星人
跑腿小哥路边吃饭直播被街道办驱赶辱骂，问对方：直播犯法了？,,229424,229424,14013,14013,923,923,885,885,525,525,资讯,社会
鉴别网络未知事物233：5种你可能见过，但不知道是什么的奇怪物体,无穷小勺子,229226,1412289,7001,47773,313,2348,22,210,52,269,知识,科学科普
艺考生因为一幅画，竟被老师看出生病了，检查结果让他崩溃！①,,229120,5595668,136,3202,516,16642,0,7,46,787,影视,影视杂谈
今天画个我六舅…,,229033,365572,29557,48649,1117,1638,238,805,1591,2938,生活,搞笑
我的世界方块轩搞笑动画之穿越一千年后,方块轩呀,228761,1097096,348,9873,2806,13439,3,73,53,342,游戏,单机游戏
一个皮肤花720，我是真的要生气了！,单走一张六,228529,228529,13701,13701,648,648,670,670,4664,4664,游戏,桌游棋牌
30岁，未曾预想过的人生,老少女阿珂,228467,228467,32694,32694,1507,1507,805,805,6454,6454,生活,日常
【同人动画】儿童迪迦12：奈克瑟斯登场！！！！,Milk缪客,228456,1007090,7258,69665,8300,21245,61,936,2780,28832,动画,特摄
领导想不起来的那些事，你真的要提醒他。,圆脸颖入职记,228451,4067617,22341,437295,2632,40267,99,2035,1214,18472,生活,搞笑
这次世界杯为什么日本会赢？,JOJO软件,228391,228391,24658,24658,5244,5244,297,297,1242,1242,生活,搞笑
一口气看完《只有我能用召唤术》精剪无重复,,228105,3302603,817,13986,7291,110643,1,32,246,4218,国创,国产原创相关
红警躲着不出来自爆卡车硬挤！看你能抗的住几波炸！,,228098,228098,15724,15724,449,449,379,379,1906,1906,游戏,单机游戏
神来之球【太离谱了Ridiculous】,太离谱了Ridiculous,227509,2690473,6707,72487,238,2322,17,233,35,184,知识,野生技能协会
小说东北女主续集之腹黑大女主！纯爽文！,九呵呵-,226979,278352,34296,40846,2617,2989,151,253,894,1365,生活,搞笑
用地雷战术让敌人知道这路有多难走,王站长WzGz,226681,2557492,497,211255,2440,25542,2,1449,56,5825,游戏,单机游戏
预算十元，十道打工族必备月末贫穷料理，拮据的日子我要放开吃,泡厨房的顾小胖,226318,226318,16139,16139,13919,13919,596,596,8578,8578,美食,美食制作
当上网课时不小心把麦打开后，对话内容全被同学听到了！,,225892,2817000,1507,47047,468,8665,69,1235,30,398,生活,搞笑
会把我放生的对吗,田花花,225060,358532,24261,36807,802,1080,131,331,459,942,动物圈,大熊猫
我新换的电脑，全球仅此一台?!,-LKs-,224831,224831,19286,19286,2040,2040,1370,1370,2358,2358,科技,数码
中国队为什么不参加世界杯,,224642,7229446,25992,661302,4437,67062,102,11990,1211,34598,生活,搞笑
新疆一高层住宅楼发生火灾，造成10人死亡，因卧室插线板起火,,224571,224571,10855,10855,977,977,3166,3166,1479,1479,资讯,热点
变成璀璨的水晶吧！宝可梦朱紫 #1,,224214,724209,1786,20213,6659,20430,15,935,615,5531,游戏,单机游戏
德国能输日本？所以赌球的世界中是没有规律的！不赌才不会输！,,224086,342555,29770,35394,1350,1752,519,1511,413,1074,,
真的有人没吃过这玩意吗？！,黑猫厨房,223900,1760579,4606,97968,376,7047,49,1024,262,8188,美食,美食制作
如果可以这样“修学分”,孙宁伽Nicole,223312,665846,11801,35900,250,677,40,163,19,47,影视,短片
擦边女的狡辩,徐珺大哥,223062,223062,6254,6254,766,766,456,456,932,932,生活,日常
战区，25把鸡终于迎来核爆,,221740,1382718,16166,120523,2517,17001,158,1754,3391,25153,游戏,网络游戏
新版植物大战僵尸就这？玩了之后我人傻了！,花生味花生酱,221675,221675,23204,23204,1526,1526,1212,1212,1511,1511,游戏,单机游戏
为了揭开学校网红奶茶店员口罩下的面目，还撕烂一件衣服,良田田田,221483,1530240,25299,160488,2242,11103,49,728,579,3649,影视,短片
带牙套能吃什么？牙齿矫正期间选对食物！,是我啊向可爱,221162,583595,1647,3576,263,653,76,229,31,63,知识,科学科普
这台灯，救了无数人的性命！,戴博士实验室,220907,2401158,32110,313950,3708,33533,63,1130,1420,18792,知识,科学科普
用“他，她，我，爱”四个字造句，你会怎么造呢？,何你在一起真快叶,220168,1064907,9005,33340,1373,5712,168,688,233,1044,影视,短片
